Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change
1998-01-01,105.59,162.5,12.7,6.1,58870.0,4646.622219512195,5.56,6.994,8866.48,0.014215733358947213,-0.0012292562999384193,-0.011673151750972832,0.008566044200787992,0.0037675944756287993,0.010909090909090757,-0.04112969564025226,0.011473199521738087
1998-04-01,105.73,163.55,12.5,5.2,60830.0,4664.063097560976,5.45,7.140000000000001,8969.699,0.0013258831328724074,0.0064615384615385185,-0.015748031496062964,0.03329369797859694,0.0037534529868905597,-0.01978417266187038,0.02087503574492433,0.011641485685413011
1998-07-01,106.28,164.9,12.3,5.7,62790.0,4681.503975609756,5.54,6.952,9121.097,0.005201929442920639,0.008254356465912549,-0.015999999999999903,0.03222094361334871,0.0037394172600067055,0.016513761467889854,-0.026330532212885283,0.016878827260535578
1998-10-01,107.46,164.85,12.1,5.3,64750.0,4698.944853658537,5.07,6.709999999999999,9293.991,0.011102747459540874,-0.0003032140691329177,-0.016260162601626105,0.031215161649944312,0.0037254861129343286,-0.08483754512635377,-0.034810126582278555,0.018955395387199703
1999-01-01,108.69,165.4,11.9,4.9,66710.0,4716.385731707317,4.63,6.785,9411.682,0.01144611948632046,0.0033363663936913923,-0.016528925619834656,0.030270270270270183,0.0037116583811791504,-0.08678500986193305,0.011177347242921076,0.012663128251361622
1999-04-01,109.52,166.45,11.75,4.6,67217.5,4733.826609756097,4.74,6.916,9526.21,0.007636397092648739,0.0063482466747277755,-0.012605042016806789,0.007607555089192086,0.0036979329174728903,0.023758099352051865,0.019307295504789934,0.012168706932512041
1999-07-01,111.45,168.3,11.6,4.8,67725.0,4751.267487804878,4.99,7.632,9686.626,0.01762235208181151,0.011114448783418496,-0.012765957446808529,0.007550117156990277,0.0036843085914546325,0.052742616033755185,0.10352805089647177,0.01683943562025192
1999-10-01,113.1,169.45,11.45,4.2,68232.5,4768.7083658536585,5.2,7.851999999999999,9900.169,0.014804845222072593,0.006833036244800805,-0.012931034482758674,0.00749354005167957,0.003670784289359741,0.04208416833667328,0.028825995807127747,0.02204513728516
2000-01-01,115.69,169.8,11.3,4.5,68740.0,4786.149243902439,5.45,8.21,10002.179,0.022900088417329822,0.0020655060489820354,-0.013100436681222627,0.0074378045652732094,0.0036573589137187668,0.04807692307692313,0.04559347936831393,0.010303864509787708
2000-04-01,119.38,172.85,11.4,3.9,68340.0,4803.59012195122,6.02,8.1525,10247.72,0.03189558302359763,0.017962308598350907,0.008849557522123908,-0.0058190282222868595,0.003644031383058355,0.1045871559633027,-0.007003654080389943,0.024548750827194654
2000-07-01,122.31,174.8,11.5,4.7,67940.0,4821.031,6.54,8.1475,10318.165,0.02454347461886419,0.011281457911483939,0.00877192982456143,-0.005853087503658205,0.003630800631610809,0.08637873754152836,-0.0006133088009812049,0.006874212019844617
2000-10-01,125.1,175.15,11.6,4.4,67540.0,4847.59175,6.51,7.795,10435.744,0.022810890360559277,0.0020022883295194305,0.008695652173912993,-0.005887547836326168,0.005509350593265072,-0.004587155963302836,-0.043264805154955566,0.011395340159805478
2001-01-01,129.2,175.9,11.7,4.6,67140.0,4874.1525,5.98,7.0325,10470.231,0.03277378097521977,0.004282043962317905,0.008620689655172376,-0.005922416345869097,0.005479163958062472,-0.08141321044546845,-0.09781911481719052,0.0033046996936680895
2001-04-01,133.05,177.6,11.8,4.3,66087.5,4900.713250000001,4.8,7.0775,10599.0,0.029798761609907354,0.009664582148948275,0.008547008547008739,-0.01567619898719097,0.0054493063153031596,-0.19732441471571915,0.006398862424457974,0.012298582524110424
2001-07-01,137.2,179.2,11.9,5.1,65035.0,4927.274,3.77,7.1275,10598.02,0.031191281473130328,0.009009009009008917,0.008474576271186418,-0.015925855872895744,0.005419772315794935,-0.21458333333333335,0.007064641469445521,-9.24615529767081e-05
2001-10-01,140.24,180.2,12.0,5.5,63982.5,4949.09825,2.49,6.6175,10660.465,0.022157434402332532,0.005580357142857206,0.008403361344537785,-0.0161835934496809,0.004429274686165163,-0.33952254641909807,-0.07155384075762894,0.005892138342822539
2002-01-01,143.91,180.0,12.1,5.8,62930.0,4970.922500000001,1.73,6.9975,10783.5,0.026169423844837336,-0.0011098779134294245,0.008333333333333304,-0.016449810495057227,0.0044097427243439125,-0.30522088353413657,0.05742349829996218,0.011541241399882551
2002-04-01,149.17,182.75,12.2,5.3,64967.5,4992.74675,1.75,6.985,10887.46,0.03655062191647551,0.015277777777777724,0.008264462809917328,0.03237724455744484,0.004390382268079973,0.011560693641618602,-0.0017863522686673017,0.009640654703945817
2002-07-01,154.24,184.2,12.3,5.6,67005.0,5014.571,1.73,6.485,10984.04,0.03398806730575865,0.007934336525307728,0.00819672131147553,0.0313618347635356,0.004371191068323288,-0.011428571428571455,-0.07158196134574091,0.008870755897151472
