date,ZHVI,ZHVF,Median_Price,Inventory_Price,Market_Price
2015-09-30,374228.5809029247,,,,79368.75101876681
2015-10-31,375544.3001762536,,,,78997.34386004048
2015-11-30,376917.1222285591,,,,80290.05099458343
2015-12-31,378175.4529235289,,,,80702.64692999746
2016-01-31,379542.30804289394,,,,80582.09328895717
2016-02-29,380640.1056906872,,,,79352.14404577097
2016-03-31,381141.666698873,,,,79705.25953286361
2016-04-30,381083.2877088016,,,,79100.48794450774
2016-05-31,380971.710853532,,,,79063.51215996472
2016-06-30,381182.7186230616,,,,78904.78323821173
2016-07-31,381363.3421903555,,,,78087.48735933095
2016-08-31,381448.2138596584,,,,78089.4059190371
2016-09-30,381719.59792375047,,,,78330.76915921542
2016-10-31,382767.715926915,,,,78622.6712115584
2016-11-30,384477.0332606789,,,,81051.68750667691
2016-12-31,386548.66933000047,,,,84535.50449289795
2017-01-31,388436.99766651547,,,,84373.11590575136
2017-02-28,390336.3191969667,,,,84896.38088730986
2017-03-31,392001.9333781232,,,,85453.2816841363
2017-04-30,393462.7423013854,,,,84655.68909228993
2017-05-31,394193.2367803654,,,,84553.65169177565
2017-06-30,394482.6655013571,,,,83846.49830223204
2017-07-31,394455.2152215933,,,,84304.30936742644
2017-08-31,394742.5456763357,,,,83731.78517671865
2017-09-30,395624.154687573,,,,83370.93575468755
2017-10-31,397023.039405491,,,,84307.7523242605
2017-11-30,398572.8671163337,,,,84821.70407051017
2017-12-31,400273.7262987089,,,,85375.69378422745
2018-01-31,401989.6106250429,,,,86104.73850859837
2018-02-28,403565.5454464925,,,,88685.03007238658
2018-03-31,405153.7041383747,,,20262.0,89911.22624451872
2018-04-30,406342.4173336287,,,23466.0,90364.24479636092
2018-05-31,407551.0946712986,,,26180.0,91561.29793071222
2018-06-30,408109.4326361027,,,26325.0,91576.43518421992
2018-07-31,409138.9205809904,,,25145.0,91486.19949244898
2018-08-31,410082.8462041218,,378538.0,23728.0,91884.25107221452
2018-09-30,411276.679444711,,378270.0,23421.0,92768.83379500169
2018-10-31,412197.4046042054,,380765.0,23196.0,94595.89997434162
2018-11-30,413131.47509909095,,381393.0,22306.0,95109.22074947204
2018-12-31,414045.3447802057,,385427.0,20022.0,93505.96788978398
2019-01-31,414971.8353375438,,385807.0,17421.0,92216.76971547924
2019-02-28,416331.1170390812,,389541.0,15899.0,91775.27069106617
2019-03-31,418216.8861835008,,390634.0,16978.0,91357.68037661836
2019-04-30,420273.7759757358,,393898.0,19236.0,90835.82148390048
2019-05-31,421611.1555485265,,391448.0,21772.0,90571.24021685949
2019-06-30,422351.7296320063,,388898.0,22998.0,88642.81216339131
2019-07-31,422736.8341232957,,386980.0,22900.0,88443.24527436074
