RegionID,SizeRank,RegionName,RegionType,StateName,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30
395023,373,"Richmond, KY",msa,KY,143608.0,145670.0,149758.0,152686.0,157653.0,157268.0,156835.0,153836.0,155637.0,158784.0,159171.0,162073.0,159573.0,159231.0,155686.0,157236.0,162617.0,168241.0,177365.0,178892.0,177180.0,175423.0,171633.0,176942.0,181291.0,190722.0,191984.0,193538.0,192034.0,198432.0,198074.0,199103.0,191005.0,195784.0,195547.0,205073.0,206588.0,209093.0,202601.0,205890.0,207836.0,217941.0,218730.0,221066.0,220645.0,216406.0,219594.0,223493.0,230093.0,234833.0,233334.0,232732.0,226663.0,234868.0,234158.0,240306.0,232924.0,237100.0,238348.0,244625.0,246098.0,245180.0,250894.0,253703.0,253367.0,247133.0,246906.0,256278.0,257525.0,264846.0,270157.0,269236.0,268915.0,262562.0,272060.0,276402.0
395168,374,"Tullahoma, TN",msa,TN,147162.0,145296.0,145177.0,148160.0,152324.0,147867.0,143564.0,141626.0,142560.0,146145.0,153989.0,156009.0,157094.0,151992.0,156792.0,159826.0,159584.0,163097.0,159069.0,160784.0,162798.0,168566.0,180290.0,184595.0,187478.0,183090.0,184729.0,186374.0,192527.0,191318.0,190079.0,185827.0,188936.0,193413.0,198775.0,203323.0,209935.0,218799.0,227789.0,228457.0,229828.0,227177.0,235967.0,233854.0,237592.0,237870.0,242503.0,239043.0,236362.0,236315.0,245131.0,246792.0,246589.0,234822.0,232195.0,233452.0,242771.0,252131.0,258637.0,268321.0,264025.0,263792.0,256884.0,259042.0,259783.0,261648.0,268797.0,275728.0,283557.0,286196.0,283692.0,288837.0,284079.0,283361.0,276771.0,274372.0
395222,375,"Whitewater, WI",msa,WI,193708.0,195967.0,201146.0,198348.0,192841.0,186038.0,184263.0,195514.0,196790.0,204981.0,207822.0,215745.0,216369.0,213869.0,217521.0,208642.0,211750.0,213523.0,230791.0,238729.0,233183.0,226403.0,217980.0,220296.0,223899.0,227522.0,231379.0,236874.0,235970.0,241012.0,235458.0,231477.0,230663.0,240565.0,255078.0,256482.0,259690.0,259995.0,266881.0,261216.0,269037.0,274248.0,266001.0,264055.0,260977.0,278046.0,274851.0,287334.0,287864.0,295251.0,280228.0,284419.0,282647.0,286442.0,289127.0,293450.0,293261.0,292319.0,300012.0,302840.0,298265.0,301228.0,312577.0,318341.0,311465.0,301633.0,301541.0,315737.0,333542.0,356568.0,347195.0,339859.0,328034.0,327393.0,335325.0,327343.0
394709,376,"Ithaca, NY",msa,NY,223901.0,207663.0,217612.0,206999.0,221173.0,208503.0,200225.0,206977.0,206358.0,223330.0,216497.0,220797.0,214002.0,219252.0,232127.0,231025.0,221821.0,224811.0,232079.0,231561.0,225421.0,229265.0,231562.0,231623.0,238861.0,262468.0,275234.0,269655.0,253610.0,235912.0,225433.0,227345.0,237276.0,248306.0,256658.0,280577.0,294389.0,301267.0,289327.0,293281.0,282944.0,283958.0,273093.0,271818.0,282531.0,323080.0,349275.0,347115.0,321455.0,317708.0,316564.0,312094.0,299173.0,296517.0,288589.0,301455.0,304934.0,301731.0,315826.0,336851.0,355483.0,334564.0,317579.0,306977.0,291002.0,299111.0,306566.0,323388.0,315846.0,329824.0,355433.0,358951.0,357022.0,341277.0,345698.0,344177.0
394637,377,"Grand Forks, ND",msa,MN,201768.0,203873.0,202109.0,213471.0,210384.0,212473.0,192793.0,191663.0,188877.0,195802.0,199722.0,205950.0,206669.0,204615.0,199708.0,201237.0,200988.0,201259.0,195973.0,198644.0,198375.0,201690.0,199891.0,191398.0,193648.0,199233.0,207879.0,205716.0,209746.0,208516.0,208245.0,202656.0,203673.0,203868.0,206090.0,205819.0,211243.0,208429.0,206306.0,201778.0,201486.0,206704.0,214504.0,223230.0,230736.0,232178.0,236508.0,228450.0,225924.0,214550.0,213493.0,206506.0,213058.0,206261.0,211472.0,207906.0,215557.0,214376.0,227089.0,229423.0,239091.0,236507.0,238249.0,234490.0,234658.0,239534.0,243525.0,248389.0,250131.0,255100.0,259036.0,258719.0,263785.0,261489.0,262212.0,257999.0
394524,378,"Decatur, IL",msa,IL,95530.0,98416.0,94961.0,87902.0,80038.0,79008.0,77631.0,90276.0,92535.0,96079.0,95009.0,95884.0,93998.0,96446.0,92920.0,101548.0,98030.0,104037.0,91759.0,89910.0,87918.0,88718.0,92895.0,93179.0,97551.0,101597.0,101155.0,96602.0,95404.0,94601.0,101710.0,99027.0,100434.0,98307.0,98441.0,99615.0,101957.0,106343.0,105217.0,104655.0,103852.0,107935.0,104372.0,103610.0,101832.0,105638.0,110726.0,106992.0,110379.0,109023.0,114169.0,115148.0,119624.0,113795.0,110120.0,104774.0,111440.0,117039.0,117537.0,115855.0,112543.0,108972.0,111082.0,109288.0,113314.0,113728.0,118557.0,115732.0,115657.0,110954.0,113219.0,114623.0,113298.0,114409.0,110799.0,108771.0
394762,379,"LaGrange, GA",msa,GA,120172.0,121250.0,115514.0,116481.0,116695.0,115351.0,115537.0,122637.0,128417.0,129865.0,125192.0,124949.0,128873.0,129790.0,131144.0,136846.0,137577.0,137913.0,133025.0,132524.0,130654.0,128472.0,131228.0,135425.0,144749.0,147062.0,153416.0,146239.0,148454.0,150139.0,147194.0,154654.0,152997.0,161042.0,158926.0,157675.0,159372.0,158694.0,168367.0,168739.0,167955.0,166832.0,163330.0,166513.0,168217.0,175880.0,178723.0,180382.0,180313.0,179425.0,173070.0,168277.0,163250.0,167830.0,156192.0,157480.0,154414.0,176659.0,181133.0,185700.0,191862.0,199879.0,199452.0,189156.0,184285.0,186589.0,197479.0,201804.0,201574.0,194239.0,198734.0,197662.0,200319.0,193922.0,192704.0,187881.0
394369,380,"Bay City, MI",msa,MI,88532.0,92671.0,88311.0,92787.0,90804.0,96072.0,96840.0,95350.0,89131.0,89661.0,93515.0,96023.0,96958.0,96440.0,96848.0,96698.0,100357.0,99038.0,96296.0,95626.0,100918.0,98269.0,96377.0,91509.0,101526.0,100738.0,109991.0,106811.0,107142.0,104250.0,108751.0,117373.0,121415.0,124085.0,122987.0,123827.0,121365.0,124111.0,126319.0,127129.0,125207.0,125022.0,129393.0,132666.0,138512.0,140004.0,141442.0,135498.0,135405.0,140120.0,142725.0,142956.0,138253.0,134711.0,131930.0,135315.0,138718.0,143107.0,143108.0,145380.0,143723.0,142806.0,135986.0,134211.0,134482.0,142779.0,141981.0,142487.0,141269.0,148134.0,150713.0,152390.0,151202.0,151523.0,153952.0,157193.0
394599,381,"Fond du Lac, WI",msa,WI,128552.0,133647.0,137955.0,136279.0,138084.0,140428.0,143092.0,137317.0,134257.0,137920.0,139824.0,143574.0,133267.0,136573.0,136454.0,148144.0,141621.0,137256.0,134520.0,141372.0,145518.0,147031.0,142264.0,144269.0,141473.0,147978.0,154354.0,157271.0,156201.0,152149.0,160208.0,161965.0,168237.0,163976.0,166240.0,161341.0,157844.0,159352.0,160346.0,168335.0,169037.0,172252.0,167451.0,167526.0,164440.0,169617.0,170839.0,174862.0,175606.0,182665.0,186305.0,190993.0,185785.0,185430.0,187871.0,187646.0,195997.0,193481.0,215738.0,217774.0,218763.0,205829.0,197790.0,205787.0,204329.0,209053.0,215546.0,222535.0,234962.0,232093.0,226418.0,222478.0,222695.0,231903.0,230446.0,237473.0
394630,382,"Gettysburg, PA",msa,PA,190985.0,196654.0,191864.0,195834.0,185845.0,186447.0,179786.0,185875.0,184520.0,190608.0,192110.0,195654.0,195641.0,202604.0,200834.0,200134.0,194226.0,208767.0,212304.0,216821.0,214568.0,217069.0,213021.0,209625.0,212938.0,218844.0,221157.0,220594.0,221618.0,226933.0,232230.0,241763.0,243852.0,239123.0,241712.0,235847.0,242672.0,236535.0,237268.0,235534.0,239732.0,240823.0,246448.0,244448.0,259614.0,265417.0,271515.0,260173.0,255889.0,253772.0,253273.0,244122.0,236272.0,232790.0,239684.0,251799.0,256696.0,266395.0,265656.0,274620.0,269603.0,273470.0,266534.0,269112.0,269172.0,278526.0,278510.0,273672.0,273861.0,279891.0,296642.0,292501.0,296269.0,292427.0,293605.0,287773.0
