Date,ZHVI_diff1,Interest_Rate,Median_Household_Income,real_mortgage_rate,Poverty_Rate_lag15,Unemployment_Rate_lag2
2005-03-01,5481.800799999968,2.63,45595.68684374742,1.9860912863070679,17.5,8.1
2005-04-01,6386.558599999989,2.79,45924.70286092179,1.9004897906435794,19.9,7.9
2005-05-01,7535.467000000004,3.0,46245.25070158636,1.7529726944873616,19.9,7.7
2005-06-01,7798.861800000013,3.04,46574.80135740167,1.7052349165596965,19.9,7.5
2005-07-01,7496.586499999976,3.26,46888.36141306701,1.9078966223132046,19.9,7.2
2005-08-01,6720.534000000043,3.5,47202.93600790964,1.6097422811941904,19.9,7.0
2005-09-01,6368.571200000006,3.62,47503.955647377785,1.142956743002542,19.9,6.7
2005-10-01,5714.199999999953,3.78,47778.58575836722,1.9501917703835492,19.9,6.6
2005-11-01,4751.635600000038,4.0,48041.23615056013,2.7295943204868145,19.9,6.4
2005-12-01,4211.748800000001,4.16,48271.22955469596,2.604827516439057,19.9,6.3
2006-01-01,3561.5369000000064,4.29,48480.0,2.4113975782038324,19.9,6.3
2006-02-01,3483.064799999993,4.49,48657.546028085286,2.8907338183642723,19.9,6.2
2006-03-01,3512.840099999972,4.59,48796.4213422829,3.3299880239521054,19.9,6.2
2006-04-01,3191.715200000035,4.79,48934.30696732792,3.2006874689209273,18.9,6.2
2006-05-01,2616.453999999969,4.94,49059.705094965146,2.980056987115975,18.9,6.3
2006-06-01,1451.4009000000078,4.99,49189.34818527161,2.7521927829955564,18.9,6.3
2006-07-01,775.6212999999989,5.24,49322.886598753554,2.521868836291925,18.9,6.4
2006-08-01,-12.135499999974854,5.25,49477.59548121095,3.047016650342796,18.9,6.4
2006-09-01,-1441.8160000000498,5.25,49657.8074776436,3.6787645914396983,18.9,6.4
2006-10-01,-2489.7261999999755,5.25,49864.59104676724,3.5763338619175418,18.9,6.4
2006-11-01,-2351.593200000003,5.25,50120.10434475794,3.4010376896720587,18.9,6.4
2006-12-01,-1675.4449000000022,5.24,50415.87707356172,3.3779860941693034,18.9,6.4
2007-01-01,-1359.9204000000027,5.25,50780.0,3.5419163424124456,18.9,6.3
2007-02-01,-1326.1805000000168,5.26,51207.84854481894,2.9947087378640864,18.9,6.2
2007-03-01,-1225.4836999999825,5.26,51638.72877499556,2.253383720930219,18.9,6.1
2007-04-01,-746.5046999999904,5.25,52149.49815333723,2.5573766546329733,19.6,6.1
2007-05-01,-1038.1908999999869,5.25,52662.222499553405,2.9157541846006714,19.6,6.0
2007-06-01,-2019.7288999999873,5.25,53194.72935524276,3.6146938168846576,19.6,5.9
2007-07-01,-2812.096600000048,5.26,53697.00893643128,3.9523320719016146,19.6,5.9
2007-08-01,-3169.298999999999,5.02,54186.19246704914,3.48279034548038,19.6,5.9
2007-09-01,-2821.375699999975,4.94,54628.42595414112,2.946420454545449,19.6,5.9
2007-10-01,-3214.1425000000163,4.76,54995.86461948003,2.6987597911227095,19.6,5.9
2007-11-01,-3522.610099999991,4.49,55296.650292606064,2.2903417420276106,19.6,5.9
2007-12-01,-4084.3878999999724,4.24,55495.72294325902,1.8886946968312106,19.6,5.9
2008-01-01,-3964.19650000002,3.94,55590.0,1.2644163599414595,19.6,5.9
2008-02-01,-4218.949199999974,2.98,55560.97839740802,1.78525888484711,19.6,6.0
2008-03-01,-4783.236100000038,2.61,55436.34449372534,2.1934501410552443,19.6,6.0
2008-04-01,-5321.847499999974,2.28,55220.39025025592,2.0789392686597656,16.4,6.1
2008-05-01,-6013.688000000024,1.98,54950.91572662951,2.1358995821320974,16.4,6.2
2008-06-01,-5883.976099999971,2.0,54632.03685638641,1.670050196748182,16.4,6.3
2008-07-01,-5978.674100000004,2.01,54305.46281694236,1.0300018784703333,16.4,6.4
2008-08-01,-5656.7506000000285,2.0,53971.50290744985,1.3968742755161774,16.4,6.6
2008-09-01,-5750.899399999995,1.81,53663.54318892454,1.2704291347953962,16.4,6.8
2008-10-01,-5312.64519999997,0.97,53411.64191438112,2.6165682207386745,16.4,7.0
2008-11-01,-4660.58620000002,0.39,53221.08656729877,3.688390391195017,16.4,7.2
2008-12-01,-3961.0859000000055,0.16,53125.30738811512,3.8094143963109373,16.4,7.5
2009-01-01,-4088.888099999982,0.15,53140.0,4.4840035110863266,16.4,7.9
