Date,ZHVI_pct_change,Unemployment_Rate,Median_Household_Income,CPI,GDP_Growth,Poverty_Rate_lag5,CPI_pct_change,Unemployment_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Poverty_Rate_pct_change,Income_yoy_pct,Interest_Rate_diff1,Mortgage_Rate_diff1,real_mortgage_rate,Income_CPI_interaction,hot_market,rising_rates,accelerating_prices,accelerating_inflation,recession_period,pandemic_period,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,ma_2,ma_4,ma_8,std_2,std_4,std_8,momentum_2,momentum_4,momentum_8,trend_strength_2,trend_strength_4,trend_strength_8
2006-10-01,-1.2786082525114262,6.3,50133.52415502897,210.45016666666663,2.9784874576350058,18.9,-0.4021927748856457,-1.5625000000000222,1.308302091628999,0.0,0.0,4.378843056091153,0.0,-0.3188333333333313,6.216243351785522,-0.5261896486209614,0,1,0,0,0,0,0.4895907809567168,2.097217107476368,2.7647274704225566,4.222096412033149,5.80961498122341,5.455903312462218,4.572401526512016,5.634328170082248,1.2934039442165424,2.3934079427221975,3.8807349701460856,1.136763477096059,1.548572300083622,1.9197477658576187,-2.27513668946584,-5.320024200266693,-5.964067510521565,-0.9885606567296511,-0.5342207776987535,-0.32947579835973556
2007-01-01,-1.056650847095686,6.066666666666666,51208.85910660483,212.778,1.31335992464869,18.9,1.1061209264901397,-3.703703703703709,2.144941872130479,0.6523784741387928,-16.326530612244916,5.271295016548905,0.0099999999999997,-0.0246666666666683,6.186597087378641,2.37256509086846,0,1,1,1,0,0,-1.2786082525114262,0.4895907809567168,2.097217107476368,2.7647274704225566,4.222096412033149,5.80961498122341,5.455903312462218,4.572401526512016,-0.3945087357773547,1.0182317765860538,3.016617917321876,1.2503055270528174,1.8045675358554663,2.489066592751879,-3.375825359987794,-5.500704664544575,-6.912936422593674,2.6783965759683923,-1.0377311643508556,-0.35027665950939196
2007-04-01,-0.7906087542964957,5.900000000000001,52668.8166693778,216.00683333333336,2.547233307156661,19.6,1.5174657781036327,-2.7472527472527264,2.850986310266501,0.0,0.0,7.353473750269135,-0.0066666666666668,0.1469999999999993,6.33313929197895,4.326274159671361,0,1,1,1,0,0,-1.056650847095686,-1.2786082525114262,0.4895907809567168,2.097217107476368,2.7647274704225566,4.222096412033149,5.80961498122341,5.455903312462218,-1.167629549803556,0.06288719720649316,2.312986370620913,0.15694758650399207,1.5677531275105927,2.7665978199774255,-1.5462416280524027,-3.8213783175182425,-5.629052373607703,0.6771058118814388,-12.57185547163906,-0.34181297578690856
2007-07-01,-1.7867551756982405,5.900000000000001,54170.54245254051,217.8275,2.6815443162781527,19.6,0.842874569554497,0.0,2.8512616727078166,0.0,0.0,9.466185985229302,-0.1766666666666667,0.1833333333333335,6.5189412367881365,2.403255955070836,0,0,0,0,0,0,-0.7906087542964957,-1.056650847095686,-1.2786082525114262,0.4895907809567168,2.097217107476368,2.7647274704225566,4.222096412033149,5.80961498122341,-0.9236298006960908,-0.6590692682367227,1.5321723622760741,0.18812016789932795,0.7913326754890637,2.6310089361200433,0.4879994982149305,-2.8878258617728636,-6.246512066758713,1.9344927744337157,2.711027902239372,-1.1661580770481843
2007-10-01,-2.373704672958965,5.933333333333334,55262.74595178171,218.728,0.941514170783304,19.6,0.41340051187293,0.5649717514124131,2.0162314235603107,0.0,0.0,10.231121556289423,-0.5766666666666662,-0.323833333333333,6.186666064254324,0.8335111025541189,0,0,0,0,0,0,-1.7867551756982405,-0.7906087542964957,-1.056650847095686,-1.2786082525114262,0.4895907809567168,2.097217107476368,2.7647274704225566,4.222096412033149,-1.2886819649973682,-1.228155757400462,0.5826260926608677,0.7043818896278746,0.42246896476523355,2.2026320570892532,-0.7301043286025546,-2.276345956654957,-7.59637015692165,1.841963135538886,1.932739116073676,-4.074147558545134
2008-01-01,-3.0248917546621734,6.1000000000000005,55529.10763037779,221.5705,-0.7617567680213432,19.6,1.2995592699608594,2.80898876404494,0.4819913922273766,1.0153132638352158,4.878048780487809,8.436525630807768,-1.3200000000000007,-0.3441666666666672,5.840510922181804,0.6263763818104278,0,0,0,1,1,0,-2.373704672958965,-1.7867551756982405,-0.7906087542964957,-1.056650847095686,-1.2786082525114262,0.4895907809567168,2.097217107476368,2.7647274704225566,-2.080229924328603,-1.5019298625123467,-0.24184904296314647,0.41503596972707213,0.7177204422625172,1.852303170514302,-1.5830959186624693,-1.0950964204475389,-6.595801084992114,1.4541141434827023,2.014003336748561,12.507354660581036
2008-04-01,-4.039397458397021,6.433333333333334,54934.44761109061,224.9286666666667,2.106228371788458,16.4,1.515619934362511,5.464480874316924,-1.0708978491883123,0.0,0.0,4.3016552962164445,-1.09,0.2093333333333333,6.0498631893846975,-1.6230741278957443,0,0,0,1,1,0,-3.0248917546621734,-2.373704672958965,-1.7867551756982405,-0.7906087542964957,-1.056650847095686,-1.2786082525114262,0.4895907809567168,2.097217107476368,-2.6992982138105694,-1.9939900894039684,-0.9655514460987378,0.4604588012933967,0.9483343917170634,1.627138255006802,-1.238136578963933,-1.9682409075664875,-5.78961922508473,1.4964620943806903,2.025786125950332,4.183513446868113
2008-07-01,-4.661598243832932,7.0,53980.169637772255,228.8945,-4.941677871198171,16.4,1.7631515769443773,8.808290155440401,-1.7371212687423032,0.0,0.0,-0.3514323581585765,-0.1466666666666665,0.2225000000000001,6.262860409421828,-3.062808104326609,0,0,0,1,1,0,-4.039397458397021,-3.0248917546621734,-2.373704672958965,-1.7867551756982405,-0.7906087542964957,-1.056650847095686,-1.2786082525114262,0.4895907809567168,-3.5321446065295974,-2.8061872654290996,-1.7326282668329114,0.7173638626633266,0.9652153493760439,1.4088382047244468,-1.6656927854380559,-3.2487887041005252,-6.136614565873389,1.3197642687718398,1.6611857309957958,2.6904780056220106
2008-10-01,-4.296349363347495,7.866666666666667,53252.678623265005,224.1628333333333,-8.071934455669401,16.4,-2.0671823336369743,12.38095238095238,-1.3477004970325113,0.0,0.0,-3.637291802818754,-1.4333333333333331,-0.4558333333333335,5.832985882008704,2.7859426584993767,0,0,1,0,1,0,-4.661598243832932,-4.039397458397021,-3.0248917546621734,-2.373704672958965,-1.7867551756982405,-0.7906087542964957,-1.056650847095686,-1.2786082525114262,-4.3504978511149766,-3.5248980324627723,-2.376526894931618,0.4399623946413022,1.0217712494521898,1.4251586224150492,-1.6367064891707588,-2.874843068134692,-5.151189024789649,0.9875534962616741,1.2188577722759617,1.8078269480182418
2009-01-01,-3.559675358116998,9.033333333333331,53312.78523888485,222.23,-2.9524114856114774,16.4,-0.8622452279853032,14.83050847457623,0.1128705957592624,2.0667452553788435,6.976744186046502,-3.991280404226194,-0.3233333333333334,-0.7978333333333332,5.0570235207304215,-0.0973221325732822,0,0,1,1,1,0,-4.296349363347495,-4.661598243832932,-4.039397458397021,-3.0248917546621734,-2.373704672958965,-1.7867551756982405,-0.7906087542964957,-1.056650847095686,-4.478973803590214,-4.005559205059905,-2.7537445337861266,0.25826996021200077,0.701854641220818,1.4909003742544595,-0.2569519049504745,-1.9226446903885304,-3.017741110836069,0.7947524397806629,0.8886837457352629,1.292667244344121
