Date,ZHVI_pct_change,Unemployment_Rate,Median_Household_Income,CPI,GDP_Growth,Poverty_Rate_lag5,CPI_pct_change,Unemployment_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Poverty_Rate_pct_change,CPI_yoy_pct,Income_yoy_pct,Interest_Rate_diff1,Mortgage_Rate_diff1,real_interest_rate,real_mortgage_rate,Income_CPI_interaction,hot_market,rising_rates,accelerating_prices,accelerating_inflation,ZHVI_pct_change_is_imputed,Poverty_Rate_lag5_is_imputed,CPI_pct_change_is_imputed,Unemployment_Rate_pct_change_is_imputed,Median_Household_Income_pct_change_is_imputed,Population_pct_change_is_imputed,Poverty_Rate_pct_change_is_imputed,CPI_yoy_pct_is_imputed,Income_yoy_pct_is_imputed,Interest_Rate_diff1_is_imputed,Mortgage_Rate_diff1_is_imputed,real_interest_rate_is_imputed,real_mortgage_rate_is_imputed,Income_CPI_interaction_is_imputed
2006-04-01,2.097217107476368,6.366666666666667,49061.12008252156,209.03333333333333,0.0052692071612249,18.9,1.4724919093851208,2.1390374331550888,0.8561357576372997,0.0,0.0,3.6186384666226035,6.082107631763112,0.4500000000000002,0.3551666666666664,4.870480282000441,6.5594802820004405,1.2606529764562244,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-07-01,0.4895907809567168,6.400000000000001,49486.0965192027,211.3,1.81806481532316,18.9,1.0843565619518492,0.523560209424101,0.8662183740736573,0.0,0.0,3.4769833496572033,4.846939668196759,0.33999999999999986,-0.03266666666666662,5.211896833170095,6.528230166503428,0.9392895780100319,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006-10-01,-1.2786082525114262,6.3,50133.52415502897,210.45016666666663,2.9784874576350058,18.9,-0.40219277488564575,-1.5625000000000222,1.308302091628999,0.0,0.0,2.792331488114619,4.378843056091153,0.0,-0.3188333333333313,5.218743351785521,6.216243351785522,-0.5261896486209614,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-01-01,-1.056650847095686,6.066666666666666,51208.85910660483,212.778,1.31335992464869,18.9,1.1061209264901395,-3.703703703703709,2.144941872130479,0.6523784741387928,-16.326530612244916,3.2902912621359137,5.271295016548905,0.009999999999999787,-0.02466666666666839,5.223763754045308,6.186597087378641,2.37256509086846,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-04-01,-0.7906087542964957,5.900000000000001,52668.8166693778,216.00683333333336,2.547233307156661,19.6,1.5174657781036327,-2.7472527472527264,2.850986310266501,0.0,0.0,3.33607080210494,7.353473750269135,-0.006666666666666821,0.14699999999999935,5.21663929197895,6.33313929197895,4.326274159671361,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-07-01,-1.7867551756982403,5.900000000000001,54170.54245254051,217.8275,2.6815443162781527,19.6,0.842874569554497,0.0,2.8512616727078166,0.0,0.0,3.08920965451962,9.466185985229302,-0.17666666666666675,0.18333333333333357,5.042441236788137,6.5189412367881365,2.403255955070836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2007-10-01,-2.373704672958965,5.933333333333334,55262.74595178171,218.728,0.941514170783304,19.6,0.41340051187293003,0.5649717514124131,2.0162314235603107,0.0,0.0,3.9333935745675452,10.231121556289423,-0.5766666666666662,-0.323833333333333,4.457332730920991,6.186666064254324,0.8335111025541189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-01-01,-3.0248917546621734,6.1000000000000005,55529.10763037779,221.5705,-0.7617567680213432,19.6,1.2995592699608594,2.8089887640449396,0.48199139222737664,1.0153132638352158,4.878048780487809,4.13224111515289,8.436525630807768,-1.3200000000000007,-0.3441666666666672,3.1353442555151374,5.840510922181804,0.6263763818104278,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-04-01,-4.039397458397021,6.433333333333334,54934.44761109061,224.9286666666667,2.106228371788458,16.4,1.515619934362511,5.464480874316924,-1.0708978491883125,0.0,0.0,4.13034772819687,4.3016552962164445,-1.0899999999999999,0.20933333333333337,2.0453631893846977,6.0498631893846975,-1.6230741278957443,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-07-01,-4.661598243832932,7.0,53980.169637772255,228.8945,-4.941677871198171,16.4,1.7631515769443773,8.808290155440401,-1.7371212687423032,0.0,0.0,5.080625724483823,-0.35143235815857654,-0.1466666666666665,0.22250000000000014,1.8891937427551617,6.262860409421828,-3.0628081043266095,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2008-10-01,-4.296349363347495,7.866666666666667,53252.678623265005,224.1628333333333,-8.071934455669401,16.4,-2.0671823336369743,12.380952380952381,-1.3477004970325113,0.0,0.0,2.48474513246284,-3.637291802818754,-1.4333333333333331,-0.45583333333333353,0.4818192153420383,5.832985882008704,2.7859426584993767,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-01-01,-3.559675358116998,9.033333333333331,53312.78523888485,222.23,-2.9524114856114774,16.4,-0.8622452279853032,14.83050847457623,0.1128705957592624,2.0667452553788435,6.976744186046502,0.297647926957767,-3.991280404226194,-0.3233333333333334,-0.7978333333333332,0.18035685406375562,5.0570235207304215,-0.0973221325732822,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-04-01,-2.7707488071088027,9.9,54262.56521109067,223.841,-0.0569818663740229,17.2,0.7249246276380461,9.594095940959434,1.7815238276335243,0.0,0.0,-0.4835607140634246,-1.2230620843892814,-0.0033333333333332993,-0.030833333333332824,0.18483560714063424,5.034002273807301,1.2914704973755393,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-07-01,-1.4462908242649952,10.466666666666669,55586.81076073167,226.6325,2.710712946865507,17.2,1.2470905687519185,5.723905723905731,2.440440374481856,0.0,0.0,-0.9882282012018684,2.976354342234555,-0.0233333333333334,0.1281666666666661,0.16654894867868528,5.167215615345351,3.0434501746177225,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2009-10-01,-0.9402359122116399,10.6,56642.28861183379,226.79216666666665,3.765498196999057,17.2,0.07045179604276974,1.2738853503184489,1.8987918836454343,0.0,0.0,1.1729568609723406,6.365144582770221,-0.0366666666666666,-0.23833333333333329,0.10827043139027659,4.907270431390276,0.1337732985142547,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-01-01,0.8507901865896228,10.333333333333334,56820.72525581703,227.96,2.2053924452108684,17.2,0.5149354805758399,-2.51572327044024,0.3150237187731886,2.2042186455216717,4.347826086956519,2.5784097556585506,6.579922623088885,0.013333333333333308,0.07683333333333398,0.1075492357767478,4.970049235776748,0.1622168900192601,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2010-04-01,1.1151228619140197,9.833333333333334,56069.12518830504,228.57066666666665,3.9565205880274887,18.4,0.26788325437210325,-4.8387096774193505,-1.3227569062664202,0.0,0.0,2.1129581563103406,3.3292933538739744,0.06,-0.08816666666666695,0.1722037517702299,4.886537085103563,-0.3543444247938238,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
