Date,Year,Month,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,Poverty_Rate_lag15,Unemployment_Rate_lag2,CPI_lag11,Median_Household_Income_future17,Population_future8,Divorce_Rate_future2,ZHVI_diff1,CPI_diff1,Median_Household_Income_diff1,Population_diff1,Mortgage_Rate_diff1,month_sin,month_cos,spring,summer,fall,winter,hot_market_season,price_to_income,monthly_payment,payment_to_income,CPI_yoy_pct,real_interest_rate,real_mortgage_rate,rising_rates,falling_rates,price_momentum,hot_market,cold_market,high_unemployment,ZHVI_ma3,ZHVI_ma6,Interest_Rate_ma3,Interest_Rate_ma6,Unemployment_Rate_ma3,Unemployment_Rate_ma6,CPI_ma3,CPI_ma6,ZHVI_mom_pct,ZHVI_yoy_pct,Median_Household_Income_mom_pct,Median_Household_Income_yoy_pct,CPI_mom_pct
2002-03-01,2002,3,7.1,181.9,1.73,7.014,221071.5565,3.293832723323349,39792.98250384589,573.158,17.5,4.59,2.4,17.5,7.2,177.6,44585.38204777821,573.158,2.28,1838.5579000000143,0.950000000000017,389.34132836428034,0.0,0.12150000000000016,1.0,6.123233995736766e-17,1,0,0,0,0,5.555541268580058,1178.299008898547,35.532868403156286,2.6523702031602703,-0.9223702031602703,4.36162979683973,0,1,5.802720982647358,1,0,1,219254.7026,216299.99458333335,1.7333333333333332,1.9333333333333336,7.166666666666667,7.116666666666667,180.94999999999996,180.38333333333333,0.838631917521937,12.848359596196858,0.9880846458589332,-1.6666055355435638,0.5250069079856479
2002-04-01,2002,4,7.1,182.75,1.75,6.985,223308.3493,2.913354483692658,40301.81169022914,573.158,17.5,5.1,2.28,18.1,7.2,178.0,44326.855206336746,573.158,2.28,2236.7927999999956,0.8499999999999943,508.8291863832492,0.0,-0.028999999999999915,0.8660254037844387,-0.4999999999999998,1,0,0,0,1,5.540901014981899,1186.7416832701717,35.33563282142638,2.899774774774788,-1.1497747747747882,4.085225225225212,0,1,5.750664980473408,1,0,1,221204.30146666666,218323.89281666666,1.7400000000000002,1.8099999999999998,7.133333333333333,7.133333333333333,181.86666666666665,180.8083333333333,1.0117958345310596,12.982051572308828,1.2786907498930855,0.49275971374027616,0.4672897196261738
2002-05-01,2002,5,7.0,183.6,1.75,6.806,225950.542,2.5,40852.60732075209,573.158,17.5,5.61,2.28,18.1,7.1,178.6,44075.216295787,568.502,2.4,2642.192699999985,0.8499999999999943,550.7956305229527,0.0,-0.17900000000000027,0.49999999999999994,-0.8660254037844387,1,0,0,0,1,5.530872001044174,1179.1453283344438,34.63608535170683,3.146067415730336,-1.3960674157303359,3.659932584269664,0,1,5.90408470554622,1,0,1,223443.4826,220423.32575,1.7433333333333334,1.7533333333333332,7.066666666666666,7.116666666666666,182.75,181.49166666666667,1.183203721796522,13.125201032687862,1.3666770981823895,2.7197257901670824,0.46511627906975495
2002-06-01,2002,6,7.0,183.9,1.75,6.65,228891.8561,2.195746473374252,41461.32937601309,573.158,17.5,6.63,2.28,18.1,7.1,179.2,43829.4304779556,568.502,2.4,2941.314100000018,0.30000000000001137,608.7220552610015,0.0,-0.1559999999999997,1.2246467991473532e-16,-1.0,0,1,0,0,1,5.520610639957492,1175.5242489091274,34.02276578973017,2.9675251959686566,-1.2175251959686566,3.6824748040313438,0,1,6.205962159764256,1,0,1,226050.24913333333,222652.47586666665,1.75,1.741666666666667,7.033333333333334,7.099999999999999,183.41666666666666,182.1833333333333,1.30175129210357,13.336004642637667,1.4900445655320116,5.080224373495534,0.16339869281045694
2002-07-01,2002,7,6.9,184.2,1.73,6.485,232110.2971,1.9468066059426048,42068.833776106905,573.158,17.5,7.139999999999999,2.4,18.1,7.0,180.05,43620.42263502615,568.502,2.52,3218.4409999999916,0.29999999999998295,607.5044000938142,0.0,-0.16500000000000004,-0.4999999999999997,-0.8660254037844388,0,1,0,0,1,5.517393192673375,1171.8448032856568,33.426497426259786,2.790178571428581,-1.060178571428581,3.6948214285714194,0,0,6.7372273225502655,1,0,1,228984.23173333332,225094.2666,1.7433333333333334,1.7416666666666665,6.966666666666666,7.05,183.9,182.88333333333333,1.4060967720030515,13.636780641391777,1.4652313595262534,7.337585470000141,0.16313213703098572
2002-08-01,2002,8,6.8,185.0,1.74,6.29,235507.6467,1.6,42694.86108626995,573.158,17.5,6.119999999999999,2.4,18.1,7.0,180.9,43450.0,568.502,2.52,3397.349600000016,0.8000000000000114,626.0273101630446,0.0,-0.19500000000000028,-0.8660254037844385,-0.5000000000000004,0,1,0,0,0,5.516065416494255,1164.9547476493751,32.74271567143731,2.7492363232435313,-1.0092363232435313,3.5407636767564687,0,0,7.423448205301342,1,0,1,232169.9333,227806.70794999998,1.74,1.7416666666666665,6.8999999999999995,6.983333333333333,184.36666666666665,183.5583333333333,1.463678967476545,13.981997483780283,1.4881023645552105,9.549071612422843,0.43431053203040193
2002-09-01,2002,9,6.8,185.8,1.75,6.0925,238817.3881,1.0931342484913025,43298.0327929636,573.158,17.5,5.1,2.52,18.1,6.9,180.2,43338.49582723196,568.502,2.4,3309.741399999999,0.8000000000000114,603.1717066936471,0.0,-0.1974999999999998,-1.0,-1.8369701987210297e-16,0,0,1,0,0,5.51566370790893,1156.8513432346633,32.062001950980026,2.708678828081812,-0.9586788280818119,3.3838211719181883,1,0,8.027188970373045,1,0,1,235478.4439666667,230764.34655000002,1.74,1.7449999999999999,6.833333333333333,6.933333333333333,185.0,184.20833333333334,1.4053647286519366,14.295705331720999,1.412750132796714,11.538690074968883,0.432432432432428
2002-10-01,2002,10,6.8,185.6,1.75,6.1125,241876.6148,0.6460564677640951,43839.89570962816,573.158,17.5,4.59,2.52,18.1,6.8,179.5,43286.94850273839,568.502,2.4,3059.2266999999993,-0.20000000000001705,541.8629166645624,0.0,0.019999999999999574,-0.8660254037844386,0.5000000000000001,0,0,1,0,0,5.517271674231625,1174.1705390820146,32.139780993798546,2.996670366259724,-1.2466703662597238,3.115829633740276,0,0,8.31507892929466,1,0,1,238733.8832,233859.05746666665,1.7466666666666668,1.7449999999999999,6.8,6.883333333333334,185.46666666666667,184.6833333333333,1.2809899330776586,14.543916241853738,1.2514723688615836,13.156841710803313,-0.10764262648009781
2002-11-01,2002,11,6.9,185.4,1.34,6.068,244597.6219,0.5,44335.81430260476,573.158,17.5,4.08,2.4,18.1,6.8,179.75,43284.361492878284,568.502,2.1,2721.007099999988,-0.19999999999998863,495.91859297660267,0.0,-0.044500000000000206,-0.5000000000000004,0.8660254037844384,0,0,1,0,0,5.516930854828795,1181.7574640134742,31.98563010791152,3.2869080779944326,-1.9469080779944326,2.781091922005567,0,1,8.252726342209883,1,0,1,241763.87493333334,236966.90411666667,1.6133333333333333,1.6766666666666665,6.833333333333333,6.866666666666667,185.6,184.98333333333335,1.1249566653022347,14.644059001517107,1.1312038611161368,14.412604145843911,-0.10775862068964637
2002-12-01,2002,12,7.0,185.85,1.24,6.0475,247188.8274,0.8352610933280993,44733.92213471617,573.158,17.5,4.08,2.4,18.1,6.8,180.0,43329.74436560356,568.502,2.0,2591.205500000011,0.44999999999998863,398.10783211141097,0.0,-0.020499999999999297,-2.4492935982947064e-16,1.0,0,0,0,1,0,5.5257579841890685,1191.6633179183186,31.966702521535012,3.3936022253129305,-2.1536022253129303,2.6538977746870698,0,1,7.993718785698634,1,0,1,244554.35470000003,240016.39933333336,1.4433333333333334,1.5916666666666666,6.8999999999999995,6.866666666666667,185.61666666666667,185.3083333333333,1.059374772277799,14.695768108461316,0.8979373411170721,15.133775456941677,0.24271844660193054
