Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,House_Index_pct_change,CPI_pct_change,Poverty_Rate_pct_change,Median_Household_Income_pct_change,Population_pct_change,Interest_Rate_pct_change,Mortgage_Rate_pct_change,GDP_pct_change,dummy_crisis_2008_period,dummy_covid_2020_period
1997-04-01,102.37,162.0,13.15,5.5,57370.0,4594.299585365854,5.51,8.1425,8518.825,-0.0040860005837143,0.0024752475247524,-0.0112781954887217,0.008791981712678,0.0038106656036591,0.0495238095238095,0.0407080777096113,0.018674691231433,0,0
1997-07-01,103.33,162.9,13.0,6.1,57870.0,4611.740463414634,5.52,7.4975,8662.823,0.0093777473869296,0.0055555555555555,-0.0114068441064638,0.008715356458079,0.003796199556584,0.0018148820326677,-0.079214000614062,0.0169035048847698,0,0
1997-10-01,104.11,162.7,12.85,6.0,58370.0,4629.181341463414,5.5,7.294,8765.907,0.007548630600987,-0.0012277470841007,-0.0115384615384616,0.0086400552963539,0.0037818429261446,-0.003623188405797,-0.0271423807935978,0.0118995851583252,0,0
1998-01-01,105.59,162.5,12.7,6.1,58870.0,4646.622219512195,5.56,6.994,8866.48,0.0142157333589472,-0.0012292562999384,-0.0116731517509728,0.0085660442007879,0.0037675944756287,0.0109090909090907,-0.0411296956402522,0.011473199521738,0,0
1998-04-01,105.73,163.55,12.5,5.2,60830.0,4664.063097560976,5.45,7.140000000000001,8969.699,0.0013258831328724,0.0064615384615385,-0.0157480314960629,0.0332936979785969,0.0037534529868905,-0.0197841726618703,0.0208750357449243,0.011641485685413,0,0
1998-07-01,106.28,164.9,12.3,5.7,62790.0,4681.503975609756,5.54,6.952,9121.097,0.0052019294429206,0.0082543564659125,-0.0159999999999999,0.0322209436133487,0.0037394172600067,0.0165137614678898,-0.0263305322128852,0.0168788272605355,0,0
1998-10-01,107.46,164.85,12.1,5.3,64750.0,4698.944853658537,5.07,6.709999999999999,9293.991,0.0111027474595408,-0.0003032140691329,-0.0162601626016261,0.0312151616499443,0.0037254861129343,-0.0848375451263537,-0.0348101265822785,0.0189553953871997,0,0
1999-01-01,108.69,165.4,11.9,4.9,66710.0,4716.385731707317,4.63,6.785,9411.682,0.0114461194863204,0.0033363663936913,-0.0165289256198346,0.0302702702702701,0.0037116583811791,-0.086785009861933,0.011177347242921,0.0126631282513616,0,0
1999-04-01,109.52,166.45,11.75,4.6,67217.5,4733.826609756097,4.74,6.916,9526.21,0.0076363970926487,0.0063482466747277,-0.0126050420168067,0.007607555089192,0.0036979329174728,0.0237580993520518,0.0193072955047899,0.012168706932512,0,0
1999-07-01,111.45,168.3,11.6,4.8,67725.0,4751.267487804878,4.99,7.632,9686.626,0.0176223520818115,0.0111144487834184,-0.0127659574468085,0.0075501171569902,0.0036843085914546,0.0527426160337551,0.1035280508964717,0.0168394356202519,0,0
1999-10-01,113.1,169.45,11.45,4.2,68232.5,4768.7083658536585,5.2,7.851999999999999,9900.169,0.0148048452220725,0.0068330362448008,-0.0129310344827586,0.0074935400516795,0.0036707842893597,0.0420841683366732,0.0288259958071277,0.02204513728516,0,0
2000-01-01,115.69,169.8,11.3,4.5,68740.0,4786.149243902439,5.45,8.21,10002.179,0.0229000884173298,0.002065506048982,-0.0131004366812226,0.0074378045652732,0.0036573589137187,0.0480769230769231,0.0455934793683139,0.0103038645097877,0,0
2000-04-01,119.38,172.85,11.4,3.9,68340.0,4803.59012195122,6.02,8.1525,10247.72,0.0318955830235976,0.0179623085983509,0.0088495575221239,-0.0058190282222868,0.0036440313830583,0.1045871559633027,-0.0070036540803899,0.0245487508271946,0,0
2000-07-01,122.31,174.8,11.5,4.7,67940.0,4821.031,6.54,8.1475,10318.165,0.0245434746188641,0.0112814579114839,0.0087719298245614,-0.0058530875036582,0.0036308006316108,0.0863787375415283,-0.0006133088009812,0.0068742120198446,0,0
2000-10-01,125.1,175.15,11.6,4.4,67540.0,4847.59175,6.51,7.795,10435.744,0.0228108903605592,0.0020022883295194,0.0086956521739129,-0.0058875478363261,0.005509350593265,-0.0045871559633028,-0.0432648051549555,0.0113953401598054,0,0
2001-01-01,129.2,175.9,11.7,4.6,67140.0,4874.1525,5.98,7.0325,10470.231,0.0327737809752197,0.0042820439623179,0.0086206896551723,-0.005922416345869,0.0054791639580624,-0.0814132104454684,-0.0978191148171905,0.003304699693668,0,0
2001-04-01,133.05,177.6,11.8,4.3,66087.5,4900.713250000001,4.8,7.0775,10599.0,0.0297987616099073,0.0096645821489482,0.0085470085470087,-0.0156761989871909,0.0054493063153031,-0.1973244147157191,0.0063988624244579,0.0122985825241104,0,0
2001-07-01,137.2,179.2,11.9,5.1,65035.0,4927.274,3.77,7.1275,10598.02,0.0311912814731303,0.0090090090090089,0.0084745762711864,-0.0159258558728957,0.0054197723157949,-0.2145833333333333,0.0070646414694455,-9.24615529767081e-05,0,0
2001-10-01,140.24,180.2,12.0,5.5,63982.5,4949.09825,2.49,6.6175,10660.465,0.0221574344023325,0.0055803571428572,0.0084033613445377,-0.0161835934496809,0.0044292746861651,-0.339522546419098,-0.0715538407576289,0.0058921383428225,0,0
2002-01-01,143.91,180.0,12.1,5.8,62930.0,4970.922500000001,1.73,6.9975,10783.5,0.0261694238448373,-0.0011098779134294,0.0083333333333333,-0.0164498104950572,0.0044097427243439,-0.3052208835341365,0.0574234982999621,0.0115412413998825,0,0
2002-04-01,149.17,182.75,12.2,5.3,64967.5,4992.74675,1.75,6.985,10887.46,0.0365506219164755,0.0152777777777777,0.0082644628099173,0.0323772445574448,0.0043903822680799,0.0115606936416186,-0.0017863522686673,0.0096406547039458,0,0
2002-07-01,154.24,184.2,12.3,5.6,67005.0,5014.571,1.73,6.485,10984.04,0.0339880673057586,0.0079343365253077,0.0081967213114755,0.0313618347635356,0.0043711910683232,-0.0114285714285714,-0.0715819613457409,0.0088707558971514,0,0
2002-10-01,157.1,185.6,12.4,5.1,69042.5,5032.52225,1.75,6.1125,11061.433,0.0185425311203317,0.007600434310532,0.0081300813008129,0.0304081784941421,0.0035798176952723,0.0115606936416186,-0.0574402467232074,0.0070459503060804,0,0
