Year,Quarter,Date,Unemployment_Rate,CPI,Interest_Rate,Mortgage_Rate,ZHVI,GDP_Growth,Median_Household_Income,Population,Poverty_Rate,Marriage_Rate,Divorce_Rate,YearQuarter,QuarterLabel
2005,1,2005-01-01,7.8999999999999995,199.29999999999998,2.47,5.755166666666667,356003.77586666663,3.703069780658831,45296.47651208357,567.136,18.9,3.4166666666666665,2.033333333333333,2005-Q1,Q1 2005
2005,2,2005-04-01,7.233333333333333,201.73333333333335,2.9433333333333334,5.719,375426.9976666667,2.240804762461953,46248.25163996994,567.136,18.9,4.6466666666666665,1.8999999999999997,2005-Q2,Q2 2005
2005,3,2005-07-01,6.566666666666666,204.20000000000002,3.4599999999999995,5.763000000000001,397237.86076666665,2.769544343635219,47198.41768945148,567.136,18.9,4.919999999999999,2.033333333333333,2005-Q3,Q3 2005
2005,4,2005-10-01,6.266666666666667,204.73333333333335,3.98,6.222333333333334,414009.6262333333,3.3331525251349383,48030.350487874435,567.136,18.9,3.4166666666666665,2.033333333333333,2005-Q4,Q4 2005
2006,1,2006-01-01,6.233333333333333,206.0,4.456666666666667,6.2405,425455.86410000006,4.674884633576658,48644.65579012273,570.681,19.6,3.3333333333333335,2.1350000000000002,2006-Q1,Q1 2006
2006,2,2006-04-01,6.366666666666667,209.03333333333333,4.906666666666667,6.595666666666666,434378.59726666665,0.005269207161224906,49061.12008252156,570.681,19.6,4.533333333333334,1.9949999999999999,2006-Q2,Q2 2006
2006,3,2006-07-01,6.400000000000001,211.29999999999998,5.246666666666667,6.563,436505.2748333334,1.8180648153231596,49486.0965192027,570.681,19.6,4.8,2.1350000000000002,2006-Q3,Q3 2006
2006,4,2006-10-01,6.3,210.45016666666666,5.246666666666667,6.2441666666666675,430924.0823666667,2.9784874576350058,50133.52415502897,570.681,19.6,3.3333333333333335,2.1350000000000002,2006-Q4,Q4 2006
2007,1,2007-01-01,6.066666666666666,212.77800000000002,5.256666666666667,6.2195,426370.7194,1.31335992464869,51208.85910660483,574.404,16.4,3.5,1.7283333333333333,2007-Q1,Q1 2007
2007,2,2007-04-01,5.900000000000001,216.00683333333336,5.25,6.366499999999999,422999.7951666667,2.547233307156661,52668.8166693778,574.404,16.4,4.760000000000001,1.615,2007-Q2,Q2 2007
2007,3,2007-07-01,5.900000000000001,217.8275,5.073333333333333,6.549833333333333,415441.8244333333,2.6815443162781527,54170.54245254051,574.404,16.4,5.04,1.7283333333333333,2007-Q3,Q3 2007
2007,4,2007-10-01,5.933333333333334,218.72799999999998,4.496666666666667,6.226,405580.46243333333,0.941514170783304,55262.74595178171,574.404,16.4,3.5,1.7283333333333333,2007-Q4,Q4 2007
2008,1,2008-01-01,6.1000000000000005,221.5705,3.1766666666666663,5.881833333333333,393312.09246666665,-0.7617567680213432,55529.10763037779,580.236,17.2,3.4166666666666665,2.745000000000001,2008-Q1,Q1 2008
2008,2,2008-04-01,6.433333333333334,224.9286666666667,2.0866666666666664,6.091166666666666,377424.6538,2.106228371788458,54934.44761109061,580.236,17.2,4.6466666666666665,2.5650000000000004,2008-Q2,Q2 2008
2008,3,2008-07-01,7.0,228.8945,1.9400000000000002,6.313666666666666,359830.63276666665,-4.941677871198171,53980.169637772255,580.236,17.2,4.919999999999999,2.745000000000001,2008-Q3,Q3 2008
2008,4,2008-10-01,7.866666666666667,224.1628333333333,0.5066666666666667,5.857833333333333,344371.0516666667,-8.071934455669401,53252.678623265005,580.236,17.2,3.4166666666666665,2.745000000000001,2008-Q4,Q4 2008
