Date,House_Index_diff1,GDP_diff1,CPI_diff1,Interest_Rate_diff1,Mortgage_Rate_diff1,Unemployment_Rate,Median_Household_Income_diff1
2000-07-01,2.930000000000007,70.44500000000153,1.950000000000017,0.5200000000000005,-0.004999999999999005,2.9,-400.0
2000-10-01,2.789999999999992,117.57899999999972,0.3499999999999943,-0.03000000000000025,-0.3525000000000009,2.6,-400.0
2001-01-01,4.099999999999994,34.48699999999917,0.75,-0.5299999999999994,-0.7625000000000002,2.9,-400.0
2001-04-01,3.8500000000000227,128.76900000000023,1.6999999999999886,-1.1800000000000006,0.04499999999999993,2.8,-1052.5
2001-07-01,4.149999999999977,-0.9799999999995634,1.5999999999999943,-1.0299999999999998,0.05000000000000071,3.4,-1052.5
2001-10-01,3.0400000000000205,62.44499999999971,1.0,-1.2799999999999998,-0.5100000000000007,4.0,-1052.5
2002-01-01,3.6699999999999875,123.03499999999985,-0.19999999999998863,-0.7600000000000002,0.3799999999999999,4.4,-1052.5
2002-04-01,5.259999999999991,103.95999999999913,2.75,0.020000000000000018,-0.01249999999999929,4.0,2037.5
2002-07-01,5.070000000000022,96.58000000000175,1.4499999999999886,-0.020000000000000018,-0.5,4.1,2037.5
2002-10-01,2.859999999999985,77.39300000000003,1.4000000000000057,0.020000000000000018,-0.3725000000000005,3.7,2037.5
