Date,House_Index,CPI,Poverty_Rate,Unemployment_Rate,Median_Household_Income,Population,Interest_Rate,Mortgage_Rate,GDP,Interest_Rate_diff1,Mortgage_Rate_diff1,Population_diff1,CPI_diff1,House_Index_diff1,GDP_diff1,Poverty_Rate_diff1,Median_Household_Income_diff1,GDP_diff2
1996-07-01,101.68,160.1,13.5,6.4,57575.0,4541.976951219513,5.4,8.245000000000001,8131.408,0.1800000000000006,0.3200000000000003,17.440878048780178,1.4000000000000057,-1.009999999999991,98.56800000000021,-0.09999999999999964,-352.5,-65.80400000000009
1996-10-01,102.37,161.0,13.4,5.9,57222.5,4559.417829268293,5.24,7.915,8259.771,-0.16000000000000014,-0.33000000000000096,17.440878048780178,0.9000000000000057,0.6899999999999977,128.36300000000028,-0.09999999999999964,-352.5,29.795000000000073
1997-01-01,102.79,161.6,13.3,6.0,56870.0,4576.858707317073,5.25,7.824,8362.655,0.009999999999999787,-0.09100000000000019,17.440878048780178,0.5999999999999943,0.4200000000000017,102.88400000000001,-0.09999999999999964,-352.5,-25.47900000000027
1997-04-01,102.37,162.0,13.15,5.5,57370.0,4594.299585365854,5.51,8.1425,8518.825,0.2599999999999998,0.3185000000000002,17.440878048781087,0.4000000000000057,-0.4200000000000017,156.17000000000007,-0.15000000000000036,500.0,53.28600000000006
1997-07-01,103.33,162.9,13.0,6.1,57870.0,4611.740463414634,5.52,7.4975,8662.823,0.009999999999999787,-0.6450000000000005,17.440878048780178,0.9000000000000057,0.9599999999999937,143.9979999999996,-0.15000000000000036,500.0,-12.17200000000048
1997-10-01,104.11,162.7,12.85,6.0,58370.0,4629.181341463414,5.5,7.294,8765.907,-0.019999999999999574,-0.20350000000000001,17.440878048780178,-0.20000000000001705,0.7800000000000011,103.08399999999892,-0.15000000000000036,500.0,-40.91400000000067
1998-01-01,105.59,162.5,12.7,6.1,58870.0,4646.622219512195,5.56,6.994,8866.48,0.05999999999999961,-0.2999999999999998,17.440878048781087,-0.19999999999998863,1.480000000000004,100.57300000000032,-0.15000000000000036,500.0,-2.510999999998603
1998-04-01,105.73,163.55,12.5,5.2,60830.0,4664.063097560976,5.45,7.140000000000001,8969.699,-0.10999999999999943,0.1460000000000008,17.440878048780178,1.0500000000000114,0.14000000000000057,103.21900000000096,-0.1999999999999993,1960.0,2.6460000000006403
1998-07-01,106.28,164.9,12.3,5.7,62790.0,4681.503975609756,5.54,6.952,9121.097,0.08999999999999986,-0.1880000000000006,17.440878048780178,1.3499999999999943,0.5499999999999972,151.39799999999923,-0.1999999999999993,1960.0,48.17899999999827
1998-10-01,107.46,164.85,12.1,5.3,64750.0,4698.944853658537,5.07,6.709999999999999,9293.991,-0.46999999999999975,-0.24200000000000088,17.440878048781087,-0.05000000000001137,1.1799999999999926,172.89400000000023,-0.20000000000000107,1960.0,21.496000000001004
1999-01-01,108.69,165.4,11.9,4.9,66710.0,4716.385731707317,4.63,6.785,9411.682,-0.4400000000000004,0.07500000000000107,17.440878048780178,0.5500000000000114,1.230000000000004,117.69100000000071,-0.1999999999999993,1960.0,-55.20299999999952
1999-04-01,109.52,166.45,11.75,4.6,67217.5,4733.826609756097,4.74,6.916,9526.21,0.11000000000000032,0.13100000000000023,17.440878048780178,1.049999999999983,0.8299999999999983,114.52799999999843,-0.15000000000000036,507.5,-3.1630000000022847
1999-07-01,111.45,168.3,11.6,4.8,67725.0,4751.267487804878,4.99,7.632,9686.626,0.25,0.7159999999999993,17.440878048781087,1.8500000000000227,1.9300000000000068,160.41600000000108,-0.15000000000000036,507.5,45.88800000000265
1999-10-01,113.1,169.45,11.45,4.2,68232.5,4768.7083658536585,5.2,7.851999999999999,9900.169,0.20999999999999996,0.21999999999999975,17.440878048780178,1.1499999999999773,1.6499999999999915,213.54299999999967,-0.15000000000000036,507.5,53.12699999999859
2000-01-01,115.69,169.8,11.3,4.5,68740.0,4786.149243902439,5.45,8.21,10002.179,0.25,0.35800000000000143,17.440878048780178,0.35000000000002274,2.5900000000000034,102.01000000000022,-0.14999999999999858,507.5,-111.53299999999945
2000-04-01,119.38,172.85,11.4,3.9,68340.0,4803.59012195122,6.02,8.1525,10247.72,0.5699999999999994,-0.057500000000000995,17.440878048781087,3.049999999999983,3.6899999999999977,245.54099999999926,0.09999999999999964,-400.0,143.53099999999904
2000-07-01,122.31,174.8,11.5,4.7,67940.0,4821.031,6.54,8.1475,10318.165,0.5200000000000005,-0.004999999999999005,17.440878048780178,1.950000000000017,2.930000000000007,70.44500000000153,0.09999999999999964,-400.0,-175.09599999999773
2000-10-01,125.1,175.15,11.6,4.4,67540.0,4847.59175,6.51,7.795,10435.744,-0.03000000000000025,-0.3525000000000009,26.560749999999643,0.3499999999999943,2.789999999999992,117.57899999999972,0.09999999999999964,-400.0,47.133999999998196
2001-01-01,129.2,175.9,11.7,4.6,67140.0,4874.1525,5.98,7.0325,10470.231,-0.5299999999999994,-0.7625000000000002,26.560750000000553,0.75,4.099999999999994,34.48699999999917,0.09999999999999964,-400.0,-83.09200000000055
